Monster,Source,CR,Size,Type,Second Type,Elite,Legendary,NPC,Unique,AC,HP,STR,DEX,CON,INT,WIS,CHA,Proficiency Bonus,Maneuver DC,Variants,Base Creature
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
